fips,date,year,month,day_of_week
2.0,2021-03-07,2021,3,6
1.0,2021-03-07,2021,3,6
5.0,2021-03-07,2021,3,6
60.0,2021-03-07,2021,3,6
4.0,2021-03-07,2021,3,6
6.0,2021-03-07,2021,3,6
8.0,2021-03-07,2021,3,6
9.0,2021-03-07,2021,3,6
11.0,2021-03-07,2021,3,6
10.0,2021-03-07,2021,3,6
12.0,2021-03-07,2021,3,6
13.0,2021-03-07,2021,3,6
66.0,2021-03-07,2021,3,6
15.0,2021-03-07,2021,3,6
19.0,2021-03-07,2021,3,6
16.0,2021-03-07,2021,3,6
17.0,2021-03-07,2021,3,6
18.0,2021-03-07,2021,3,6
20.0,2021-03-07,2021,3,6
21.0,2021-03-07,2021,3,6
22.0,2021-03-07,2021,3,6
25.0,2021-03-07,2021,3,6
24.0,2021-03-07,2021,3,6
23.0,2021-03-07,2021,3,6
26.0,2021-03-07,2021,3,6
27.0,2021-03-07,2021,3,6
29.0,2021-03-07,2021,3,6
69.0,2021-03-07,2021,3,6
28.0,2021-03-07,2021,3,6
30.0,2021-03-07,2021,3,6
37.0,2021-03-07,2021,3,6
38.0,2021-03-07,2021,3,6
31.0,2021-03-07,2021,3,6
33.0,2021-03-07,2021,3,6
34.0,2021-03-07,2021,3,6
35.0,2021-03-07,2021,3,6
32.0,2021-03-07,2021,3,6
36.0,2021-03-07,2021,3,6
39.0,2021-03-07,2021,3,6
40.0,2021-03-07,2021,3,6
41.0,2021-03-07,2021,3,6
42.0,2021-03-07,2021,3,6
72.0,2021-03-07,2021,3,6
44.0,2021-03-07,2021,3,6
45.0,2021-03-07,2021,3,6
46.0,2021-03-07,2021,3,6
47.0,2021-03-07,2021,3,6
48.0,2021-03-07,2021,3,6
49.0,2021-03-07,2021,3,6
51.0,2021-03-07,2021,3,6
78.0,2021-03-07,2021,3,6
50.0,2021-03-07,2021,3,6
53.0,2021-03-07,2021,3,6
55.0,2021-03-07,2021,3,6
54.0,2021-03-07,2021,3,6
56.0,2021-03-07,2021,3,6
2.0,2021-03-06,2021,3,5
1.0,2021-03-06,2021,3,5
5.0,2021-03-06,2021,3,5
60.0,2021-03-06,2021,3,5
4.0,2021-03-06,2021,3,5
6.0,2021-03-06,2021,3,5
8.0,2021-03-06,2021,3,5
