fips,province_state,country_region,latitude,longitude,county,state
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,Unknown,New Jersey
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,Unknown,New Jersey
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Puerto Rico
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,Unknown,New Jersey
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Puerto Rico
,Anhui,China,31.826,117.226,Unknown,Rhode Island
,Anhui,China,31.826,117.226,Unknown,Virgin Islands
,Anhui,China,31.826,117.226,Unknown,Guam
,Anhui,China,31.826,117.226,Unknown,New Jersey
,Anhui,China,31.826,117.226,New York City,New York
,Anhui,China,31.826,117.226,Unknown,Puerto Rico
,Anhui,China,31.826,117.226,Unknown,Rhode Island
