fips,province_state,country_region,confirmed,deaths,recovered,active,date,positive,negative,hospitalizedcurrently,hospitalized,hospitalizeddischarged
,Anhui,China,1.0,,,,20210119,289939,,1066.0,,
,Beijing,China,14.0,,,,20210119,289939,,1066.0,,
,Chongqing,China,6.0,,,,20210119,289939,,1066.0,,
,Fujian,China,1.0,,,,20210119,289939,,1066.0,,
,Gansu,China,,,,,20210119,289939,,1066.0,,
,Guangdong,China,26.0,,,,20210119,289939,,1066.0,,
,Guangxi,China,2.0,,,,20210119,289939,,1066.0,,
,Guizhou,China,1.0,,,,20210119,289939,,1066.0,,
,Hai,China,4.0,,,,20210119,289939,,1066.0,,
,Hebei,China,1.0,,,,20210119,289939,,1066.0,,
,Heilongjiang,China,,,,,20210119,289939,,1066.0,,
,He,China,5.0,,,,20210119,289939,,1066.0,,
,Hong Kong,Hong Kong,,,,,20210119,289939,,1066.0,,
,Hubei,China,444.0,17.0,28.0,,20210119,289939,,1066.0,,
,Hu,China,4.0,,,,20210119,289939,,1066.0,,
,Inner Mongolia,China,,,,,20210119,289939,,1066.0,,
,Jiangsu,China,1.0,,,,20210119,289939,,1066.0,,
,Jiangxi,China,2.0,,,,20210119,289939,,1066.0,,
,Jilin,China,,,,,20210119,289939,,1066.0,,
,Liaoning,China,2.0,,,,20210119,289939,,1066.0,,
,Macau,Macau,1.0,,,,20210119,289939,,1066.0,,
,Ningxia,China,1.0,,,,20210119,289939,,1066.0,,
,Qinghai,China,,,,,20210119,289939,,1066.0,,
,Shaanxi,China,,,,,20210119,289939,,1066.0,,
,Shandong,China,2.0,,,,20210119,289939,,1066.0,,
,Shanghai,China,9.0,,,,20210119,289939,,1066.0,,
,Shanxi,China,1.0,,,,20210119,289939,,1066.0,,
,Sichuan,China,5.0,,,,20210119,289939,,1066.0,,
,Taiwan,Taiwan,1.0,,,,20210119,289939,,1066.0,,
,Tianjin,China,4.0,,,,20210119,289939,,1066.0,,
,Tibet,China,,,,,20210119,289939,,1066.0,,
,Washington,US,1.0,,,,20210119,289939,,1066.0,,
,Xinjiang,China,,,,,20210119,289939,,1066.0,,
,Yun,China,1.0,,,,20210119,289939,,1066.0,,
,Zhejiang,China,10.0,,,,20210119,289939,,1066.0,,
,,Japan,2.0,,,,20210119,289939,,1066.0,,
,,Thailand,2.0,,,,20210119,289939,,1066.0,,
,,South Korea,1.0,,,,20210119,289939,,1066.0,,
,Anhui,China,9.0,,,,20210119,289939,,1066.0,,
,Beijing,China,22.0,,,,20210119,289939,,1066.0,,
,Chongqing,China,9.0,,,,20210119,289939,,1066.0,,
,Fujian,China,5.0,,,,20210119,289939,,1066.0,,
,Gansu,China,2.0,,,,20210119,289939,,1066.0,,
,Guangdong,China,32.0,,2.0,,20210119,289939,,1066.0,,
,Guangxi,China,5.0,,,,20210119,289939,,1066.0,,
,Guizhou,China,3.0,,,,20210119,289939,,1066.0,,
,Hai,China,5.0,,,,20210119,289939,,1066.0,,
,Hebei,China,1.0,1.0,,,20210119,289939,,1066.0,,
,Heilongjiang,China,2.0,,,,20210119,289939,,1066.0,,
,He,China,5.0,,,,20210119,289939,,1066.0,,
,Hong Kong,Hong Kong,2.0,,,,20210119,289939,,1066.0,,
,Hubei,China,444.0,17.0,28.0,,20210119,289939,,1066.0,,
,Hu,China,9.0,,,,20210119,289939,,1066.0,,
,Inner Mongolia,China,,,,,20210119,289939,,1066.0,,
,Jiangsu,China,5.0,,,,20210119,289939,,1066.0,,
,Jiangxi,China,7.0,,,,20210119,289939,,1066.0,,
,Jilin,China,1.0,,,,20210119,289939,,1066.0,,
,Liaoning,China,3.0,,,,20210119,289939,,1066.0,,
,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
,Ningxia,China,1.0,,,,20210119,289939,,1066.0,,
,Qinghai,China,,,,,20210119,289939,,1066.0,,
,Shaanxi,China,3.0,,,,20210119,289939,,1066.0,,
,Shandong,China,6.0,,,,20210119,289939,,1066.0,,
,Shanghai,China,16.0,,,,20210119,289939,,1066.0,,
,Shanxi,China,1.0,,,,20210119,289939,,1066.0,,
,Sichuan,China,8.0,,,,20210119,289939,,1066.0,,
,Taiwan,Taiwan,1.0,,,,20210119,289939,,1066.0,,
,Tianjin,China,4.0,,,,20210119,289939,,1066.0,,
,Tibet,China,,,,,20210119,289939,,1066.0,,
,Washington,US,1.0,,,,20210119,289939,,1066.0,,
,Xinjiang,China,2.0,,,,20210119,289939,,1066.0,,
,Yun,China,2.0,,,,20210119,289939,,1066.0,,
,Zhejiang,China,27.0,,,,20210119,289939,,1066.0,,
,,Japan,1.0,,,,20210119,289939,,1066.0,,
,,Thailand,3.0,,,,20210119,289939,,1066.0,,
,,South Korea,1.0,,,,20210119,289939,,1066.0,,
,,Singapore,1.0,,,,20210119,289939,,1066.0,,
,,Philippines,,,,,20210119,289939,,1066.0,,
,,Malaysia,,,,,20210119,289939,,1066.0,,
,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
,,Australia,,,,,20210119,289939,,1066.0,,
,,Mexico,,,,,20210119,289939,,1066.0,,
,,Brazil,,,,,20210119,289939,,1066.0,,
,,Colombia,,,,,20210119,289939,,1066.0,,
,Hubei,China,549.0,24.0,31.0,,20210119,289939,,1066.0,,
,Guangdong,China,53.0,,2.0,,20210119,289939,,1066.0,,
,Zhejiang,China,43.0,,1.0,,20210119,289939,,1066.0,,
,Beijing,China,36.0,,1.0,,20210119,289939,,1066.0,,
,Chongqing,China,27.0,,,,20210119,289939,,1066.0,,
,Hu,China,24.0,,,,20210119,289939,,1066.0,,
,Guangxi,China,23.0,,,,20210119,289939,,1066.0,,
,Shanghai,China,20.0,,1.0,,20210119,289939,,1066.0,,
,Jiangxi,China,18.0,,,,20210119,289939,,1066.0,,
,Sichuan,China,15.0,,,,20210119,289939,,1066.0,,
,Shandong,China,15.0,,,,20210119,289939,,1066.0,,
,Anhui,China,15.0,,,,20210119,289939,,1066.0,,
,Fujian,China,10.0,,,,20210119,289939,,1066.0,,
,He,China,9.0,,,,20210119,289939,,1066.0,,
,Jiangsu,China,9.0,,,,20210119,289939,,1066.0,,
,Hai,China,8.0,,,,20210119,289939,,1066.0,,
,Tianjin,China,8.0,,,,20210119,289939,,1066.0,,
,Yun,China,5.0,,,,20210119,289939,,1066.0,,
,Shaanxi,China,5.0,,,,20210119,289939,,1066.0,,
,Heilongjiang,China,4.0,1.0,,,20210119,289939,,1066.0,,
,Liaoning,China,4.0,,,,20210119,289939,,1066.0,,
,Guizhou,China,3.0,,,,20210119,289939,,1066.0,,
,Jilin,China,3.0,,,,20210119,289939,,1066.0,,
,Taiwan,Taiwan,3.0,,,,20210119,289939,,1066.0,,
,Ningxia,China,2.0,,,,20210119,289939,,1066.0,,
,Hong Kong,Hong Kong,2.0,,,,20210119,289939,,1066.0,,
,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
,Hebei,China,2.0,1.0,,,20210119,289939,,1066.0,,
,Gansu,China,2.0,,,,20210119,289939,,1066.0,,
,Xinjiang,China,2.0,,,,20210119,289939,,1066.0,,
,Shanxi,China,1.0,,,,20210119,289939,,1066.0,,
,Inner Mongolia,China,1.0,,,,20210119,289939,,1066.0,,
,Qinghai,China,,,,,20210119,289939,,1066.0,,
,Washington,US,1.0,,,,20210119,289939,,1066.0,,
,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
,,Japan,2.0,,,,20210119,289939,,1066.0,,
,,Thailand,5.0,,,,20210119,289939,,1066.0,,
,,South Korea,2.0,,,,20210119,289939,,1066.0,,
,,Singapore,3.0,,,,20210119,289939,,1066.0,,
,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
,Hubei,China,761.0,40.0,32.0,,20210119,289939,,1066.0,,
,Guangdong,China,78.0,,2.0,,20210119,289939,,1066.0,,
,Zhejiang,China,62.0,,1.0,,20210119,289939,,1066.0,,
,Chongqing,China,57.0,,,,20210119,289939,,1066.0,,
,Hu,China,43.0,,,,20210119,289939,,1066.0,,
,Beijing,China,41.0,,2.0,,20210119,289939,,1066.0,,
,Anhui,China,39.0,,,,20210119,289939,,1066.0,,
,Shanghai,China,33.0,,1.0,,20210119,289939,,1066.0,,
,He,China,32.0,,,,20210119,289939,,1066.0,,
,Sichuan,China,28.0,,,,20210119,289939,,1066.0,,
,Shandong,China,27.0,,,,20210119,289939,,1066.0,,
,Guangxi,China,23.0,,,,20210119,289939,,1066.0,,
,Hai,China,19.0,,,,20210119,289939,,1066.0,,
,Jiangxi,China,18.0,,,,20210119,289939,,1066.0,,
,Fujian,China,18.0,,,,20210119,289939,,1066.0,,
,Jiangsu,China,18.0,,1.0,,20210119,289939,,1066.0,,
,Liaoning,China,17.0,,,,20210119,289939,,1066.0,,
,Shaanxi,China,15.0,,,,20210119,289939,,1066.0,,
,Yun,China,11.0,,,,20210119,289939,,1066.0,,
,Tianjin,China,10.0,,,,20210119,289939,,1066.0,,
,Heilongjiang,China,9.0,1.0,,,20210119,289939,,1066.0,,
,Hebei,China,8.0,1.0,,,20210119,289939,,1066.0,,
,Inner Mongolia,China,7.0,,,,20210119,289939,,1066.0,,
,Shanxi,China,6.0,,,,20210119,289939,,1066.0,,
,Hong Kong,Hong Kong,5.0,,,,20210119,289939,,1066.0,,
,Guizhou,China,4.0,,,,20210119,289939,,1066.0,,
,Jilin,China,4.0,,,,20210119,289939,,1066.0,,
,Gansu,China,4.0,,,,20210119,289939,,1066.0,,
,Ningxia,China,3.0,,,,20210119,289939,,1066.0,,
,Taiwan,Taiwan,3.0,,,,20210119,289939,,1066.0,,
,Xinjiang,China,3.0,,,,20210119,289939,,1066.0,,
,Macau,Macau,2.0,,,,20210119,289939,,1066.0,,
,Qinghai,China,1.0,,,,20210119,289939,,1066.0,,
,Washington,US,1.0,,,,20210119,289939,,1066.0,,
,Illinois,US,1.0,,,,20210119,289939,,1066.0,,
,,Japan,2.0,,,,20210119,289939,,1066.0,,
,,Thailand,7.0,,,,20210119,289939,,1066.0,,
,,South Korea,2.0,,,,20210119,289939,,1066.0,,
,,Singapore,3.0,,,,20210119,289939,,1066.0,,
,,Vietnam,2.0,,,,20210119,289939,,1066.0,,
,,Australia,4.0,,,,20210119,289939,,1066.0,,
,,Nepal,1.0,,,,20210119,289939,,1066.0,,
,,Malaysia,3.0,,,,20210119,289939,,1066.0,,
,Hubei,China,1058.0,52.0,42.0,,20210119,289939,,1066.0,,
,Guangdong,China,111.0,,2.0,,20210119,289939,,1066.0,,
,Zhejiang,China,104.0,,1.0,,20210119,289939,,1066.0,,
,He,China,83.0,1.0,,,20210119,289939,,1066.0,,
,Chongqing,China,75.0,,,,20210119,289939,,1066.0,,
,Hu,China,69.0,,,,20210119,289939,,1066.0,,
,Beijing,China,68.0,,2.0,,20210119,289939,,1066.0,,
,Anhui,China,60.0,,,,20210119,289939,,1066.0,,
,Shandong,China,46.0,,,,20210119,289939,,1066.0,,
,Sichuan,China,44.0,,,,20210119,289939,,1066.0,,
,Shanghai,China,40.0,1.0,1.0,,20210119,289939,,1066.0,,
,Guangxi,China,36.0,,,,20210119,289939,,1066.0,,
,Jiangxi,China,36.0,,,,20210119,289939,,1066.0,,
,Fujian,China,35.0,,,,20210119,289939,,1066.0,,
,Jiangsu,China,33.0,,1.0,,20210119,289939,,1066.0,,
,Hai,China,22.0,,,,20210119,289939,,1066.0,,
,Shaanxi,China,22.0,,,,20210119,289939,,1066.0,,
,Liaoning,China,21.0,,,,20210119,289939,,1066.0,,
,Yun,China,16.0,,,,20210119,289939,,1066.0,,
,Heilongjiang,China,15.0,1.0,,,20210119,289939,,1066.0,,
,Tianjin,China,14.0,,,,20210119,289939,,1066.0,,
,Hebei,China,13.0,1.0,,,20210119,289939,,1066.0,,
,Shanxi,China,9.0,,,,20210119,289939,,1066.0,,
,Hong Kong,Hong Kong,8.0,,,,20210119,289939,,1066.0,,
,Inner Mongolia,China,7.0,,,,20210119,289939,,1066.0,,
,Gansu,China,7.0,,,,20210119,289939,,1066.0,,
,Guizhou,China,5.0,,,,20210119,289939,,1066.0,,
,Macau,Macau,5.0,,,,20210119,289939,,1066.0,,
